"width [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
0.5,4709625755.26736,7942271186.24866,9880257421.92444,11047114853.7578,11773916265.3779,12249319470.778,12573512873.7382
0.888888888888889,5538891540.43303,8869428328.97015,10644224537.1438,11628789268.4414,12212681788.44,12584437034.9012,12834647211.5012
1.27777777777778,6015541585.77232,9347607458.53343,10999170406.1243,11881496313.5571,12395005981.466,12717335015.9829,12932707792.8055
1.66666666666667,6336617635.80867,9623762260.59057,11181386292.1062,11993694919.7036,12459427173.4577,12754874667.4792,12949192466.8818
2.05555555555556,6566665563.73563,9812976108.77167,11301981158.857,12070541094.4616,12510949142.4536,12788015469.64,12972736518.0503
2.44444444444444,6722724502.82789,9921230661.63398,11353180139.7146,12088817176.0372,12510023579.8963,12774330464.441,12951037297.4153
2.83333333333333,6831125668.39188,9982851236.38404,11366813068.5573,12075211120.9444,12480372438.804,12735195446.9315,12849617784.3225
3.22222222222222,6909433144.42026,10023970244.4458,11377837454.8885,12068811311.892,12467291554.7164,12719034621.8627,12889058199.1253
3.61111111111111,6969208912.33841,10036406436.9793,11358346161.1249,12033079875.4053,12263623695.8019,12423800826.0652,12652949697.8391
4,7076513957.52958,10107070841.3126,11828455529.1803,12027028224.4225,12429743161.9667,12659327015.8649,12823319601.717
