"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,9914036560.06571,10878229602.9444,12842933195.8051,12901925809.9838,13306783213.9987,13325060731.721,13328071971.8077
4,10417304608.2219,12037500680.104,13054942540.8904,13090932544.7134,13099002556.1956,13138785861.7595,13204871935.9755
6,10385631777.9366,12297512194.3795,13065961167.331,13298816436.981,13334947516.2713,13367867174.8414,13463991970.393
8,10310394967.5294,12426566443.0882,13057162921.8564,13310382920.5077,13319676619.5419,13333997929.1645,13370517046.1954
10,10230915156.3958,12503816024.7781,13038679384.9447,13176063887.1722,13236471827.2227,13288154464.1239,13300390824.0327
12,10157362382.5032,12560501542.9763,13021278768.2815,13277721295.8177,13331158427.5548,13384105216.2111,13420896924.8556
14,10075282646.7856,12593783852.4648,12998094860.2974,13010202776.0651,13040486275.6195,13050961734.1051,13066381590.4273
16,9956611343.52347,12612021303.5907,12967922577.6043,13222857119.9916,13330650804.9411,13366684594.5337,13367089291.3019
18,9936132451.11908,12651361031.3356,12961133726.4208,13206614944.5426,13261796514.8952,13402104858.8395,13422096897.1961
20,7291147348.57577,9104814690.01743,10468335179.5804,12399950488.948,12909530091.6346,13080461481.0287,13139332313.3174
