"width [um]","junction_width [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
1.6,0.2,7518666195.37885,9260058082.24244,12135397987.8098,12274480693.8237,13064357831.534,13090134831.0574,13382451919.113
1.6,0.4,7173528640.25487,8922401623.22451,11920761279.8255,12070326801.9611,12941075552.7469,12969553890.6509,13300630758.3368
1.6,0.6,6958568823.26032,8712163445.07118,11770901941.1646,11926924207.4579,12849566788.887,12879825345.052,13236938316.1598
1.6,0.8,6796639557.35483,8547748155.61349,11649987163.0787,11810181816.5805,12772551965.9113,12804199385.7312,13182141061.2597
1.6,1,6658624266.97609,8401866608.84745,11536013216.9862,11699585306.3191,12695330153.2181,12728210869.8043,13122156900.2798
1.6,1.2,6543573720.31952,8282442495.26123,11438438221.1505,11604971099.8378,12627592687.2085,12661376786.0073,13072299130.0405
1.6,1.4,6443461638.31482,8184060128.97836,11357822120.4903,11527970281.811,12578883530.7466,12613814877.4488,13038507703.526
1.6,1.6,6349519455.67854,8086171786.28025,11270165229.3731,11442277489.9682,12510106303.0229,12546658066.1648,12887645654.5839
1.6,1.8,6274714346.14334,8003169385.27887,11196420955.4502,11369987281.3523,12458147581.3152,12494390433.2651,12941779562.0957
1.6,2,6204322013.15687,7924160171.44439,11120674291.2862,11296091416.5882,12399968286.5267,12437030701.3884,12778210751.5519
